Subfamily,Genus,CODE,HeadW,HeadL,ClypeusL,MandibleL,HindFemurL,ScapeL,WebersL,PronotumW,InterOcularW,EyeL,BodyL,Sculpturing,Pilosity,nSpines,ColourHead,Colour Mesosoma,ColourGaster
Myrmicinae,Pheidole,ANT-1059,0.51,0.33,0.13,0.31,0.62,0.53,0.64,0.31,0.42,0.09,1.91,2,12,0,24,22,24
Myrmicinae,Pheidole,ANT-1295,0.64,0.58,0.18,0.42,0.73,0.73,0.84,0.4,0.31,0.11,2.78,1,40,0,24,23,23
Myrmicinae,Pheidole,ANT-1324,0.67,0.51,0.22,0.42,0.71,0.47,0.82,0.6,0.51,0.13,2.49,1,40,0,24,24,23
Myrmicinae,Pheidole,ANT-010,0.6,0.56,0.18,0.42,0.78,0.64,0.93,0.4,0.44,0.16,2.84,1.5,60,0,24,8,23
Myrmicinae,Megalomyrmex,ANT-1543,0.51,0.47,0.16,0.33,0.69,0.73,0.76,0.38,0.33,0.16,2.82,1,25,0,17,17,17
Myrmicinae,Pheidole,ANT-425,0.53,0.62,0.18,0.36,1.04,1.02,0.89,0.36,0.4,0.13,2.6,1.5,33,0,24,24,23
Myrmicinae,Pheidole,ANT-454,0.64,0.6,0.24,0.42,1.31,1.2,1.11,0.42,0.51,0.16,3.09,1.5,24,2,24,24,23
Myrmicinae,Pheidole,ANT-1568,0.6,0.6,0.11,0.33,0.6,0.53,0.82,0.42,0.44,0.02,2.69,2,16,0,24,24,24
Myrmicinae,Stenamma,ANT-1655,0.62,0.49,0.11,0.33,0.6,0.33,0.84,0.64,0.47,0.09,2.69,2,33,0,24,24,22
Myrmicinae,Pheidole,ANT-167,0.8,0.53,0.2,0.33,0.89,0.76,1.07,0.53,0.6,0.16,3.13,3,25,0,23,23,23
Myrmicinae,Pheidole,ANT-311,0.56,0.53,0.13,0.29,0.6,0.56,0.67,0.31,0.44,0.09,2.13,1.5,10,2,20,17,20
Myrmicinae,Pheidole,ANT-110,0.51,0.44,0.22,0.29,0.64,0.47,0.64,0.31,0.38,0.11,1.98,2,14,0,22,22,22
Myrmicinae,Pheidole,ANT-1265,0.49,0.42,0.16,0.29,0.42,0.44,0.56,0.31,0.38,0.11,1.87,1.5,17,2,24,24,24
Myrmicinae,Pheidole,ANT-1590,0.42,0.4,0.18,0.22,0.38,0.33,0.44,0.24,0.36,0.07,1.53,2,22,2,17,17,20
Myrmicinae,Pheidole,ANT-1075,0.42,0.47,0.16,0.18,0.38,0.36,0.56,0.27,0.36,0.13,1.98,1,15,0,1,1,1
Myrmicinae,Pheidole,ANT-865,0.71,0.62,0.22,0.44,1.18,1.07,1.11,0.44,0.56,0.11,3.18,1,65,2,17,17,20
Myrmicinae,Pheidole,ANT-1522,0.49,0.4,0.13,0.24,0.4,0.29,0.56,0.29,0.4,0.09,1.89,1.5,20,2,24,24,24
Myrmicinae,Pheidole,ANT-1155,0.49,0.38,0.16,0.27,0.4,0.29,0.53,0.29,0.4,0.09,1.8,1.5,12,2,24,24,24
Myrmicinae,Pheidole,ANT-1067,0.49,0.47,0.16,0.31,0.44,0.4,0.58,0.31,0.4,0.09,2.07,1.5,14,2,23,23,21
Myrmicinae,Megalomyrmex,ANT-166,0.62,0.44,0.13,0.31,0.67,0.58,1.07,0.56,0.49,0.18,3.31,1,27,0,1,1,1
Myrmicinae,Pheidole,ANT-1039,0.4,0.38,0.13,0.24,0.24,0.31,0.38,0.24,0.36,0.04,1.36,2,18,0,21,21,21
Myrmicinae,Pheidole,ANT-1143,0.42,0.42,0.11,0.24,0.33,0.31,0.38,0.24,0.38,0.07,1.73,2,10,2,17,17,17
Myrmicinae,Pheidole,ANT-1396,0.49,0.44,0.22,0.29,0.51,0.47,0.6,0.31,0.42,0.09,1.98,2,30,2,17,17,17
Myrmicinae,Pheidole,ANT-755,0.47,0.47,0.13,0.31,0.64,0.64,0.64,0.29,0.42,0.09,2.04,1.5,25,0,17,17,17
Myrmicinae,Pheidole,ANT-844,0.38,0.38,0.13,0.22,0.38,0.36,0.4,0.2,0.33,0.09,1.49,1,30,0,17,17,17
Myrmicinae,Pheidole,ANT-1384,0.42,0.38,0.13,0.27,0.22,0.31,0.49,0.24,0.36,0.07,1.71,2,11,2,17,17,21
Myrmicinae,Pheidole,ANT-980,0.78,0.67,0.13,0.44,1.2,0.98,1.04,0.47,0.58,0.16,3.29,1,40,2,20,20,20
Myrmicinae,Pheidole,ANT-006,0.51,0.49,0.16,0.36,0.47,0.42,0.58,0.49,0.44,0.07,2.07,1,10,2,17,17,17
Myrmicinae,Pheidole,ANT-540,0.4,0.4,0.11,0.2,0.24,0.29,0.44,0.22,0.33,0.09,1.67,1.5,13,2,17,17,17
Myrmicinae,Pheidole,ANT-953,0.4,0.36,0.11,0.22,0.33,0.36,0.47,0.24,0.36,0.04,1.58,1,11,0,20,20,21
Myrmicinae,Pheidole,ANT-1314,0.53,0.51,0.18,0.24,0.42,0.4,0.6,0.31,0.47,0.11,2.2,1,9,2,17,17,17
Myrmicinae,Pheidole,ANT-245,0.38,0.38,0.13,0.24,0.29,0.31,0.42,0.22,0.33,0.07,1.42,1,9,0,17,17,17
Myrmicinae,Pheidole,ANT-393,0.64,0.58,0.24,0.4,0.76,0.73,0.87,0.42,0.58,0.09,2.6,1,30,2,19,19,19
Myrmicinae,Megalomyrmex,ANT-1471,0.53,0.51,0.27,0.33,0.64,0.76,0.8,0.38,0.31,0.18,2.73,1,20,0,20,20,20
Myrmicinae,Megalomyrmex,ANT-754,0.47,0.58,0.16,0.24,0.53,0.51,0.87,0.33,0.36,0.11,2.98,1,11,0,17,17,22
Myrmicinae,Pheidole,ANT-798,0.64,0.56,0.18,0.42,0.69,0.56,0.78,0.38,0.53,0.09,2.4,1,27,0,1,1,23
Myrmicinae,Pheidole,ANT-1343,0.62,0.56,0.16,0.4,0.64,0.56,0.78,0.38,0.53,0.11,2.33,1,26,0,24,23,8
Myrmicinae,Pheidole,ANT-1007,0.49,0.33,0.13,0.31,0.6,0.53,0.67,0.29,0.38,0.09,2.16,2,12,0,24,23,23
Myrmicinae,Pheidole,ANT-973,0.8,0.76,0.24,0.51,1.22,1.04,1.13,0.49,0.6,0.18,3.49,1,68,2,20,20,23
Myrmicinae,Pheidole,ANT-009,0.8,0.6,0.24,0.44,0.96,3,1.04,0.51,0.6,0.16,3.18,2,75,2,20,20,20
