Trap,group,population,Anochetus,Apterostigma,Carebara,Crematogaster,Cyphomyrmex,Gnamptogenys,Hylomyrma,Hypoponera,Myrmicocrypta,Octostruma,Pheidole,Rogeria,Sericomyrmex,Solenopsis,Strumigenys,Trachymyrmex,Wasmannia
Winkler,leaf,p_quito,0,0,0,0,0,1,0,1,0,4,12,2,0,4,1,0,0
Winkler,leaf,p_quito,0,0,0,0,0,0,0,1,0,0,6,0,0,5,1,0,0
Winkler,leaf,p_quito,0,4,0,0,0,0,0,1,0,5,13,1,0,6,2,0,1
Winkler,leaf,p_quito,0,0,0,0,0,0,0,2,0,2,4,1,0,1,4,0,67
Winkler,leaf,p_quito,0,0,0,0,0,0,0,1,0,1,3,0,0,4,1,0,3
Winkler,leaf,p_quito,0,0,0,0,2,0,0,1,0,1,8,0,0,1,0,0,1
Winkler,leaf,p_quito,0,0,0,0,0,0,0,5,0,1,5,0,0,10,7,0,10
Winkler,leaf,p_quito,0,1,19,0,0,0,0,3,0,1,39,3,0,0,6,0,74
Winkler,leaf,p_quito,0,0,0,0,0,0,0,0,0,0,1,1,0,5,15,0,2
Winkler,leaf,p_quito,0,0,0,0,0,0,0,1,0,1,19,0,0,16,6,0,0
Winkler,leaf,p_quito,0,0,0,0,0,0,0,0,0,1,12,1,0,12,5,0,1
Winkler,leaf,p_quito,0,0,0,0,0,0,0,0,0,3,5,0,0,6,0,0,12
Winkler,leaf,p_quito,0,0,0,0,0,0,0,11,0,2,7,0,0,1,2,0,9
Pitfall,leaf,s_domingo,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Pitfall,leaf,s_domingo,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0
Pitfall,leaf,s_domingo,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Pitfall,leaf,s_domingo,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2
Pitfall,leaf,s_domingo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitfall,leaf,s_domingo,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0
Pitfall,leaf,s_domingo,0,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0,3
Pitfall,leaf,s_domingo,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Pitfall,leaf,s_domingo,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Pitfall,leaf,s_domingo,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0
Pitfall,leaf,s_domingo,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Pitfall,leaf,s_domingo,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitfall,leaf,s_domingo,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Pitfall,leaf,s_domingo,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Pitfall,leaf,s_domingo,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Pitfall,leaf,s_domingo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Winkler,leaf,s_domingo,0,0,0,0,0,0,0,3,0,0,45,4,0,5,0,0,0
Winkler,leaf,s_domingo,0,0,0,0,1,0,1,0,0,7,140,0,0,15,0,0,0
Winkler,leaf,s_domingo,0,0,135,0,0,0,0,4,0,2,7,2,4,8,2,0,4
Winkler,leaf,s_domingo,0,0,9,2,0,0,0,0,4,2,16,0,0,12,0,0,0
Winkler,leaf,s_domingo,0,1,0,0,1,0,0,1,0,3,3,0,0,16,0,0,0
Winkler,leaf,s_domingo,0,0,0,0,1,0,0,0,0,0,13,0,0,15,0,0,0
Winkler,leaf,s_domingo,2,0,0,0,5,0,0,1,0,0,3,0,0,10,3,0,0
Winkler,leaf,s_domingo,0,0,0,0,0,0,0,3,0,0,31,1,0,12,1,0,0
Winkler,leaf,s_domingo,0,0,0,0,4,0,0,2,0,0,7,1,0,40,3,0,0
Winkler,leaf,s_domingo,3,0,0,0,8,0,0,0,0,2,267,0,0,26,1,0,0
Winkler,leaf,s_domingo,0,6,0,0,1,0,0,0,0,1,20,0,0,5,0,0,0
Winkler,leaf,s_domingo,0,15,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0
Winkler,leaf,s_domingo,3,0,0,0,0,1,0,2,0,5,11,0,0,16,0,0,0
Winkler,leaf,s_domingo,2,4,0,2,0,0,0,1,0,2,22,3,0,7,0,0,0
Winkler,leaf,s_domingo,0,16,4,2,0,0,0,0,0,2,42,1,0,0,0,0,0
Winkler,leaf,s_domingo,2,0,2,1,0,0,0,2,0,0,41,0,1,14,0,0,0
Winkler,leaf,s_domingo,1,19,4,0,2,0,0,2,0,1,21,1,0,11,4,0,0
Winkler,leaf,s_domingo,3,0,1,0,0,0,0,0,0,1,21,3,0,8,7,0,0
Winkler,leaf,s_domingo,0,0,0,0,1,0,0,0,0,3,0,0,0,27,0,0,0
Pitfall,leaf,H_infraguttatus,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Pitfall,leaf,H_infraguttatus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pitfall,leaf,H_infraguttatus,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitfall,leaf,H_infraguttatus,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Pitfall,leaf,H_infraguttatus,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Winkler,leaf,H_infraguttatus,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Winkler,leaf,H_infraguttatus,0,0,0,0,0,0,0,0,0,3,26,1,0,10,0,0,38
Winkler,leaf,H_infraguttatus,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
Winkler,leaf,H_infraguttatus,0,9,0,0,0,0,0,0,0,0,6,0,0,2,1,0,0
Winkler,leaf,H_infraguttatus,0,0,0,0,6,1,0,0,0,2,3,0,0,0,0,0,1
Winkler,leaf,H_infraguttatus,0,0,0,0,1,0,0,0,0,0,2,0,0,5,0,0,2
Winkler,leaf,H_infraguttatus,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0
Winkler,leaf,H_infraguttatus,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Winkler,leaf,H_infraguttatus,0,0,1,1,0,1,0,0,0,0,6,0,0,11,4,0,0
Winkler,leaf,H_infraguttatus,0,0,0,0,0,0,0,1,0,0,6,0,0,2,0,0,0
Winkler,leaf,H_infraguttatus,0,0,0,1,0,4,0,2,0,1,12,1,0,0,1,0,0
Winkler,leaf,H_infraguttatus,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Winkler,leaf,H_infraguttatus,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2
Winkler,leaf,H_infraguttatus,0,0,1,0,1,2,0,0,0,0,1,0,0,9,2,0,2
Winkler,leaf,H_infraguttatus,0,0,0,0,0,0,0,0,0,1,2,0,0,4,2,0,1
Winkler,leaf,H_infraguttatus,0,0,0,0,0,1,0,0,0,0,0,8,0,5,1,0,1
