SITE,TRAP,no_Trap,GENERA,SPECIES,#,latitude,longitude,altitude
Mana,Winkler,w4,Wasmannia,Wasmannia auropunctata,38,-0.82733,-79.18499,480
Mana,Winkler,w4,Octostruma,Octostruma amrishi,3,-0.82733,-79.18499,480
Mana,Winkler,w4,Lachnomyrmex,Lachnomyrmex EC01,1,-0.82733,-79.18499,480
Mana,Winkler,w3,Atta,Atta EC01 cephalotes,2,-0.82733,-79.18499,480
Mana,Winkler,w3,Hypoponera,Hypoponera EC12,1,-0.82733,-79.18499,480
Mana,Winkler,w3,Strumigenys,Strumigenys EC13,1,-0.82733,-79.18499,480
Mana,Winkler,w3,Solenopsis,Solenopsis sp4,1,-0.82733,-79.18499,480
Santo Domingo,Pitfall,p34,Pheidole,Pheidole EC18,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p34,Pheidole,Pheidole glomericeps,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p34,Pheidole,Pheidole ACY2076,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p33,Pachycondyla,Pachycondyla harpax,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p33,Tranopelta,Tranopelta gilva,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p36,Apterostigma,Apterostigma EC02,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p27,Odontomachus,Odontomachus bauri,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p27,Carebara,Carebara urichi,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p27,Azteca,Azteca EC07,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p38,Odontomachus,Odontomachus bauri,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p38,Pachycondyla,Pachycondyla harpax,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p38,Azteca,Azteca ADF9952,3,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p38,Pheidole,Pheidole ADG9130,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p38,Pheidole,Pheidole ACY2076,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p38,Stenamma,Stenamma nanozoi,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p28,Ectatomma,Ectatomma edentatum,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p28,Sericomyrmex,Sericomyrmex EC02,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p28,Cyphomyrmex,Cyphomyrmex ABU9022,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p28,Pheidole,Pheidole ACY2076,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p29,Ectatomma,Ectatomma edentatum,3,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p29,Pachycondyla,Pachycondyla harpax,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p29,Megalomyrmex,Megalomyrmex EC02,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p29,Pheidole,Pheidole astur,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p29,Gnamptogenys,Gnamptogenys striatula,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p29,Wasmannia,Wasmannia auropunctata,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p31,Megalomyrmex,Megalomyrmex EC02,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p31,Pheidole,Pheidole EC04,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p31,Pheidole,Pheidole ACY2076,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p24,Pachycondyla,Pachycondyla harpax,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p24,Ectatomma,Ectatomma ruidum,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p24,Pheidole,Pheidole astur,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p24,Pheidole,Pheidole ACY2076,6,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p24,Sericomyrmex,Sericomyrmex ACZ3424,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p37,Ectatomma,Ectatomma edentatum,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p37,Pheidole,Pheidole ACY2668,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p37,Pheidole,Pheidole ACY2076,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p36,Apterostigma,Apterostigma EC02,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p22,Pachycondyla,Pachycondyla harpax,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p23,Pachycondyla,Pachycondyla harpax,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p23,Pheidole,Pheidole EC18,3,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p23,Pheidole,Pheidole glomericeps,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p23,Azteca,Azteca EC07,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p39,Pachycondyla,Pachycondyla harpax,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p39,Pheidole,Pheidole ACY2076,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p39,Solenopsis,Solenopsis sp4,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p30,Pachycondyla,Pachycondyla crassinoda,3,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p30,Pheidole,Pheidole EC67,3,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p26,Ectatomma,Ectatomma edentatum,4,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p26,Pheidole,Pheidole ACY2668,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p26,Pheidole,Pheidole glomericeps,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p26,Wasmannia,Wasmannia auropunctata,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p25,Odontomachus,Odontomachus bauri,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p25,Pheidole,Pheidole EC67,3,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p25,Pheidole,Pheidole glomericeps,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p33,Pachycondyla,Pachycondyla harpax,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p33,Ectatomma,Ectatomma edentatum,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p33,Apterostigma,Apterostigma auriculatum,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p33,Cyphomyrmex,Cyphomyrmex ABU9022,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p33,Pheidole,Pheidole ACY2668,3,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p33,Pheidole,Pheidole EC67,3,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p29,Pheidole,Pheidole EC04,4,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p29,Pheidole,Pheidole EC06,9,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p29,Pheidole,Pheidole EC67,11,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p29,Wasmannia,Wasmannia auropunctata,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p29,Azteca,Azteca EC07,2,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p23,Ectatomma,Ectatomma edentatum,1,-0.270395595,-79.12255462,600
Santo Domingo,Pitfall,p40,Pheidole,Pheidole ADG9130,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w47,Anochetus,Anochetus targionii,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w47,Cyphomyrmex,Cyphomyrmex ADG8561,5,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w47,Azteca,Azteca EC07,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w47,Hypoponera,Hypoponera ADG8682,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w47,Pheidole,Pheidole ACY2076,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w47,Solenopsis,Solenopsis sp1,10,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w47,Strumigenys,Strumigenys EC13,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w50,Pheidole,Pheidole glomericeps,240,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w50,Pheidole,Pheidole EC67,5,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w50,Nylanderia,Nylanderia EC13,10,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w50,Labidus,Labidus coecus,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w50,Cyphomyrmex,Cyphomyrmex ADC7886,8,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w50,Anochetus,Anochetus targionii,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w50,Pheidole,Pheidole glomericeps,14,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w50,Pheidole,Pheidole ACY2076,8,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w50,Strumigenys,Strumigenys EC13,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w50,Solenopsis,Solenopsis sp1,25,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w50,Octostruma,Octostruma amrishi,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w50,Solenopsis,Solenopsis black,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w44,Crematogaster,Crematogaster nigropilosa,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w44,Myrmicocrypta,Myrmicocrypta ADG7968,4,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w44,Pheidole,Pheidole glomericeps,16,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w44,Carebara,Carebara urichi,9,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w44,Octostruma,Octostruma amrishi,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w44,Solenopsis,Solenopsis sp5,12,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Leptogenys,Leptogenys EC01,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Anochetus,Anochetus targionii,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Apterostigma,Apterostigma ADG8842,4,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Pheidole,Pheidole EC13,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Pheidole,Pheidole ADG9130,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Pheidole,Pheidole EC04,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Octostruma,Octostruma amrishi,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Azteca,Azteca EC07,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Crematogaster,Crematogaster sotobosque,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Pheidole,Pheidole glomericeps,10,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Pheidole,Pheidole ulothrix,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Pheidole,Pheidole ACY2076,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Rogeria,Rogeria EC02,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Tranopelta,Tranopelta gilva,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Hypoponera,Hypoponera EC07,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w56,Solenopsis,Solenopsis sp1,7,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Ectatomma,Ectatomma edentatum,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Leptogenys,Leptogenys EC01,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Odontomachus,Odontomachus meinerti,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Apterostigma,Apterostigma EC02,16,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Acanthognathus,Acanthognathus teledectus,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Crematogaster,Crematogaster sotobosque,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Octostruma,Octostruma amrishi,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Rogeria,Rogeria EC02,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Carebara,Carebara urichi,4,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Pheidole,Pheidole glomericeps,29,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Pheidole,Pheidole glomericeps,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Pheidole,Pheidole ACY2076,9,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w57,Pheidole,Pheidole ACY2076,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w45,Apterostigma,Apterostigma ADG8842,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w45,Hypoponera,Hypoponera EC12,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w45,Cyphomyrmex,Cyphomyrmex ACZ3361,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w45,Azteca,Azteca EC07,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w45,Octostruma,Octostruma amrishi,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w45,Pheidole,Pheidole glomericeps,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w45,Pheidole,Pheidole ADH2079,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w45,Solenopsis,Solenopsis sp1,16,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w45,Brachymyrmex,Brachymyrmex EC01,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Pachycondyla,Pachycondyla harpax,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Apterostigma,Apterostigma EC02,19,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Cyphomyrmex,Cyphomyrmex EC02,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Thaumatomyrmex,Thaumatomyrmex zeteky,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Rasopone,Rasopone bicculata,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Acanthognathus,Acanthognathus teledectus,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Pheidole,Pheidole astur,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Pheidole,Pheidole EC09,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Pheidole,Pheidole glomericeps,10,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Solenopsis,Solenopsis sp5,4,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Acropyga,Acropyga smithii,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w51,Pachycondyla,Pachycondyla harpax,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w51,Apterostigma,Apterostigma EC02,6,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w51,Lenomyrmex,Lenomyrmex foveolatus,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w51,Octostruma,Octostruma amrishi,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w51,Cyphomyrmex,Cyphomyrmex ACZ3361,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w51,Cryptopone,Cryptopone gilva,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w51,Pheidole,Pheidole EC107,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w51,Pheidole,Pheidole glomericeps,12,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w51,Pheidole,Pheidole ACY2076,7,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w51,Solenopsis,Solenopsis sp5,5,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w46,Pachycondyla,Pachycondyla harpax,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w46,Cyphomyrmex,Cyphomyrmex EC10,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w46,Cryptopone,Cryptopone gilva,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w46,Pheidole,Pheidole EC06,10,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w46,Pheidole,Pheidole ACY2076,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w46,Pheidole,Pheidole glomericeps,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w46,Solenopsis,Solenopsis sp4,15,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w58,Anochetus,Anochetus targionii,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w58,Sericomyrmex,Sericomyrmex ACZ3424,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w58,Hypoponera,Hypoponera EC12,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w58,Crematogaster,Crematogaster nigropilosa,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w58,Pheidole,Pheidole ACY2076,,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w58,Pheidole,Pheidole glomericeps,41,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w58,Carebara,Carebara urichi,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w58,Solenopsis,Solenopsis sp5,14,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w95,Pachycondyla,Pachycondyla harpax,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w95,Odontomachus,Odontomachus meinerti,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w95,Octostruma,Octostruma amrishi,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w95,Nylanderia,Nylanderia EC08,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w95,Cyphomyrmex,Cyphomyrmex ABU9022,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w95,Pheidole,Pheidole ACY2076,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w95,Pheidole,Pheidole glomericeps,,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w95,Pheidole,Pheidole ACY2076,10,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w95,Solenopsis,Solenopsis sp4,27,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w48,Nylanderia,Nylanderia EC13,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w48,Azteca,Azteca EC07,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w48,Hypoponera,Hypoponera AAP3371,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w48,Hypoponera,Hypoponera EC07,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w48,Rogeria,Rogeria EC02,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w48,Strumigenys,Strumigenys EC09,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w48,Pheidole,Pheidole EC01,12,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w48,Pheidole,Pheidole ACY2076,19,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w48,Solenopsis,Solenopsis sp4,12,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w42,Ectatomma,Ectatomma edentatum,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w42,Cyphomyrmex,Cyphomyrmex ACZ3361,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w42,Hylomyrma,Hylomyrma EC02,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w42,Camponotus,Camponotus compositor,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w42,Octostruma,Octostruma amrishi,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w42,Octostruma,Octostruma amrishi,6,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w42,Solenopsis,Solenopsis sp1,15,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w42,Pheidole,Pheidole glomericeps,84,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w42,Pheidole,Pheidole glomericeps,56,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w60,Pachycondyla,Pachycondyla harpax,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w60,Lenomyrmex,Lenomyrmex foveolatus,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w60,Anochetus,Anochetus targionii,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w60,Strumigenys,Strumigenys EC13,7,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w60,Rogeria,Rogeria EC02,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w60,Pheidole,Pheidole EC26,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w60,Pheidole,Pheidole glomericeps,12,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w60,Pheidole,Pheidole ACY2076,6,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w60,Octostruma,Octostruma amrishi,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w60,Carebara,Carebara urichi,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w60,Nylanderia,Nylanderia EC08,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w60,Solenopsis,Solenopsis sp1,8,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Pachycondyla,Pachycondyla harpax,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Anochetus,Anochetus targionii,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Hypoponera,Hypoponera EC12,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Strumigenys,Strumigenys EC05,4,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Octostruma,Octostruma betschi,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Rogeria,Rogeria EC02,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Cyphomyrmex,Cyphomyrmex EC08,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Carebara,Carebara urichi,4,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Pheidole,Pheidole EC17,5,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Pheidole,Pheidole ACY2076,4,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Solenopsis,Solenopsis sp1,7,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w59,Tranopelta,Tranopelta gilva,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w41,Hypoponera,Hypoponera EC12,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w41,Nylanderia,Nylanderia EC13,6,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w41,Rogeria,Rogeria blanda,4,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w41,Pheidole,Pheidole glomericeps,29,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w41,Pheidole,Pheidole ADH2079,16,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w41,Solenopsis,Solenopsis sp1,5,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w52,Basiceros,Basiceros militaris,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w52,Apterostigma,Apterostigma EC02,15,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w52,Pheidole,Pheidole glomericeps,7,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w52,Pheidole,Pheidole ACY2076,6,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w52,Solenopsis,Solenopsis sp5,6,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w49,Nylanderia,Nylanderia EC13,9,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w49,Hypoponera,Hypoponera EC12,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w49,Cyphomyrmex,Cyphomyrmex ABU9022,4,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w49,Strumigenys,Strumigenys EC13,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w49,Rogeria,Rogeria EC02,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w49,Pheidole,Pheidole EC27,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w49,Pheidole,Pheidole ACY2076,6,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w49,Solenopsis,Solenopsis sp1,40,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w49,Brachymyrmex,Brachymyrmex EC01,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w54,Anochetus,Anochetus targionii,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w54,Hypoponera,Hypoponera AAP3371,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w54,Gnamptogenys,Gnamptogenys striatula,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w54,Octostruma,Octostruma betschi,5,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w54,Pheidole,Pheidole EC26,7,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w54,Pheidole,Pheidole ACY2076,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w54,Pheidole,Pheidole ACY2076,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w54,Solenopsis,Solenopsis sp4,16,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Sericomyrmex,Sericomyrmex ACZ3424,4,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Hypoponera,Hypoponera EC12,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Octostruma,Octostruma amrishi,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Nylanderia,Nylanderia EC13,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Ochetomyrmex,Ochetomyrmex sp1.,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Wasmannia,Wasmannia auropunctata,4,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Rogeria,Rogeria EC02,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Hypoponera,Hypoponera EC07,3,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Strumigenys,Strumigenys EC13,2,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Pheidole,Pheidole glomericeps,1,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Pheidole,Pheidole EC09,6,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Solenopsis,Solenopsis sp4,8,-0.270395595,-79.12255462,600
Santo Domingo,Winkler,w43,Carebara,Carebara urichi,135,-0.270395595,-79.12255462,600
Colon,Winkler,w79,Myrmicocrypta,Myrmicocrypta EC02,4,0.462799765,-79.15503034,350
Colon,Winkler,w79,Nylanderia,Nylanderia EC25,12,0.462799765,-79.15503034,350
Colon,Winkler,w79,Stenamma,Stenamma nanozoi,10,0.462799765,-79.15503034,350
Colon,Winkler,w79,Strumigenys,Strumigenys sp1 (appretiata),1,0.462799765,-79.15503034,350
Colon,Winkler,w79,Rogeria,Rogeria blanda,3,0.462799765,-79.15503034,350
Colon,Winkler,w79,Solenopsis,Solenopsis aff. geminnata,1,0.462799765,-79.15503034,350
